utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM58,100,25,67.53246753,61,59,57.14285714
UTAM575,0,56.25,78.75,65,39.13043478,62
UTAM88,12.5,32.20338983,30.39215686,26.49842271,31.21019108,24.32432432
UTAM650,0,25,55,38,17.39130435,47.74774775
UTAM90,0,31.30434783,27.95698925,35.77981651,19.31818182,42.55319149
UTAM108,60,23.36448598,13.59223301,37.29508197,20,37.5
UTAM610,0,6.451612903,11.11111111,40.83769634,59,53.84615385
UTAM66,50,71,48.95833333,40,20.68965517,63
UTAM116,0,27.27272727,28.125,25.58139535,17.14285714,24.52830189
UTAM77,42.85714286,35.29411765,33.33333333,29.28571429,42,21.42857143
UTAM35,57.14285714,39.39393939,38.55421687,44,32,43
UTAM12,33.33333333,42.42424242,30.50847458,30.51771117,22.36842105,27.36842105
UTAM53,57.14285714,45.09803922,44.32989691,26.08695652,46,47.2972973
UPR3,0,53.84615385,35.80246914,55.78947368,68.75,41.7721519
UTAM690,0,0,0,65,61.29032258,67.40740741
UTAM501,0,41.50943396,49.19354839,29.78723404,45.45454545,70.37037037
UTAM51,100,62.5,47.61904762,55.43478261,43.03797468,40.85365854
UTAM571,0,17.5,55,57,57,48.68421053
UTAM2,0,21.42857143,8.333333333,11.76470588,10,12.82051282
UTAM56,0,40,60,32.55813953,51.88679245,66.43835616
UTAM9,64,54,41.12554113,49.00398406,32.65306122,56
UPR2,0,20,46.66666667,42,33.76623377,21.05263158
UTAM680,0,0,45,71,56,0
UTAM37,42.85714286,36.48648649,46.22641509,49.70414201,36,52
UTAM87,0,72,58,15.38461538,66.07142857,64.61538462
UTAM15,0,4.761904762,6.896551724,15.94684385,38.21138211,26
UTAM55,45,54,51.85185185,41.66666667,39.39393939,39.79591837
UTAM61,50,0,57.14285714,49,45.83333333,30.76923077
UTAM574,0,22.58064516,70,54,55,60
UTAM89,0,5.555555556,16.12903226,37.38019169,34.23913043,41.55844156
UTAM68,50,53.48837209,47.28682171,47.05882353,56,64.58333333
UTAM67,0,58,47.5862069,50.56179775,66.21621622,52.30769231
UTAM62,75,57,38.46153846,39.13043478,56.66666667,30.76923077
UTAM25,37.5,20.75471698,18.82352941,26.68463612,18.32061069,32.56880734
UTAM660,0,0,14.28571429,55,47.47474747,40
UTAM630,0,20,15.38461538,62,37.31343284,69.62025316
UTAM1,0,54.54545455,53.57142857,44.11764706,21.05263158,35.8974359
UTAM64,0,0,33.33333333,21.42857143,0,0
UTAM103,0,39.02439024,47.72727273,16.66666667,18.18181818,44.94382022
UTAM60,0,0,100,82.35294118,0,66.66666667
UTAM63,0,0,50,50,0,100
